id,year,category,title,authors,journal,type,population,doi,url,oa,grade,directness,key,app,tags
OLIVEIRA2024_POLARIZED,2024,Training intensity distribution,Comparison of Polarized Versus Other Types of Endurance Training Intensity Distribution on Athletes’ Endurance Performance: A Systematic Review with Meta-analysis,Silva Oliveira P; Boppre G; Fonseca H,Sports Medicine,Systematic review + meta-analysis,"Endurance athletes; 17 studies, n=437",10.1007/s40279-024-02034-z,https://doi.org/10.1007/s40279-024-02034-z,True,A,Endurance; partially cycling-specific,"Polarized training showed a small advantage for VO2peak, particularly in highly trained athletes and interventions under 12 weeks, but was not superior for time trial, time-to-exhaustion, or power/speed at VT2/LT2.","Do not hard-code an 80/20 polarized dogma. Offer polarized and pyramidal distributions as evidence-supported templates and select by athlete level, phase, event and response.",polarized;pyramidal;TID;VO2max
GALANRIOJA2023_CYCLIST_PERIODIZATION,2023,Training intensity distribution,"Training Periodization, Intensity Distribution, and Volume in Trained Cyclists: A Systematic Review",Galán-Rioja MA; Gonzalez-Ravé JM; González-Mohíno F; Seiler S,International Journal of Sports Physiology and Performance,Systematic review,Trained cyclists,10.1123/ijspp.2022-0302,https://doi.org/10.1123/ijspp.2022-0302,True,A,Cycling-specific,Cycling studies use multiple periodization and intensity-distribution models; the literature does not establish one universally superior model across contexts.,Make periodization configurable. Bias toward high low-intensity volume with targeted quality rather than claiming a single optimal distribution.,periodization;cycling;TID;volume
SPERLICH2023_ELITE_TID,2023,Training intensity distribution,The proportional distribution of training by elite endurance athletes at different intensities during different phases of the season,Sperlich B; Matzka M; Holmberg HC,Frontiers in Sports and Active Living,Review of elite-athlete training distributions,437 elite athletes; 175 reported TIDs,10.3389/fspor.2023.1258585,https://doi.org/10.3389/fspor.2023.1258585,True,B,Elite endurance; includes cycling,"Across reported elite-athlete training distributions, pyramidal and polarized patterns were both common and varied by sport and phase of season.",Allow intensity distribution to evolve across a season: pyramidal base/build is common; more polarized patterns may emerge in some phases.,elite;TID;season;periodization
TONNESSEN2024_NORWEGIAN,2024,Applied endurance programming,Training Session Models in Endurance Sports: A Norwegian Perspective on Best Practice Recommendations,Tønnessen E; Sandbakk Ø; Sandbakk SB; Seiler S; Haugen T,Sports Medicine,Pragmatic qualitative best-practice study,12 world-leading Norwegian endurance coaches across Olympic endurance sports,10.1007/s40279-024-02067-4,https://doi.org/10.1007/s40279-024-02067-4,True,B,Elite endurance; includes road cycling,"Successful endurance programmes feature high volumes of low intensity work and controlled, repeatable interval sessions that are often less exhaustive than research intervention protocols.",Default hard sessions should usually finish with reserve rather than failure. Protect repeatability and consistency over chasing maximal session scores.,best-practice;low-intensity;intervals;elite
SEILER2010_BEST_PRACTICE,2010,Training intensity distribution,What is Best Practice for Training Intensity and Duration Distribution in Endurance Athletes?,Seiler S,International Journal of Sports Physiology and Performance,Narrative synthesis,Endurance athletes,10.1123/ijspp.5.3.276,https://doi.org/10.1123/ijspp.5.3.276,False,B,Endurance,"A large proportion of successful endurance training is performed at low intensity, with a smaller but important dose of high intensity work.",Use low-intensity volume as the foundation and constrain high-intensity frequency to what the athlete can absorb.,80/20;low-intensity;TID
STOGGL2014_POLARIZED,2014,Training intensity distribution,"Polarized training has greater impact on key endurance variables than threshold, high intensity, or high volume training",Stöggl T; Sperlich B,Frontiers in Physiology,Controlled training intervention,Well-trained endurance athletes,10.3389/fphys.2014.00033,https://doi.org/10.3389/fphys.2014.00033,True,B,"Endurance, mixed modes","In this intervention, a polarized programme produced strong improvements in several endurance outcomes compared with alternative distributions.","Use as supportive—not definitive—evidence for polarized blocks, especially when an athlete is stagnating under threshold-heavy training.",polarized;threshold;HIIT
WANG2023_TAPER,2023,Periodization and taper,Effects of tapering on performance in endurance athletes: A systematic review and meta-analysis,Wang Z; Wang Y; Gao W; Zhong Y,PLOS ONE,Systematic review + meta-analysis,14 endurance studies,10.1371/journal.pone.0282838,https://doi.org/10.1371/journal.pone.0282838,True,A,Endurance,"Tapering improves time-trial/time-to-exhaustion performance. The best-supported approach reduces volume about 41–60%, keeps intensity and frequency, and lasts up to 21 days.","For priority events, create 7–14 day default tapers (extend toward 21 days for large accumulated load) with ~40–60% volume reduction while retaining short intensity exposures.",taper;race;periodization
BOSQUET2007_TAPER,2007,Periodization and taper,Effects of tapering on performance: a meta-analysis,Bosquet L; Montpetit J; Arvisais D; Mujika I,Medicine & Science in Sports & Exercise,Meta-analysis,Competitive athletes,10.1249/mss.0b013e31806010e0,https://doi.org/10.1249/mss.0b013e31806010e0,False,A,Endurance-heavy mixed sport,Classic taper meta-analysis supports approximately two weeks of tapering with a substantial progressive reduction in volume while intensity is maintained.,Use as foundational taper logic and cross-check with newer Wang 2023 synthesis.,taper;competition
SCHOENMAKERS2026_VO2TIME,2026,HIIT and VO2max,Time spent at or near V̇O₂max during high-intensity interval training - a systematic review and meta-analysis,Schoenmakers P; Murray K; White J; Matta G; Bossi AH,"BMC Sports Science, Medicine and Rehabilitation",Systematic review + meta-analysis,86 articles; 239 HIIT protocols,10.1186/s13102-026-01766-x,https://doi.org/10.1186/s13102-026-01766-x,True,A,HIIT across endurance modalities,Long intervals of at least ~2 minutes generally generate more accumulated time near VO2max than short/moderate intervals; variable-intensity work can increase time near VO2max.,"When the goal is VO2 stimulus, prioritize repeatable 2–5 minute intervals or carefully designed variable intervals rather than treating any hard workout as equivalent.",HIIT;VO2max;interval-duration
WIESINGER2025_HIIT_ELITE,2025,HIIT and VO2max,Meta-analyses of the effects of high-intensity interval training in elite athletes—part I: mean effects on various performance measures,Wiesinger HP; Stöggl TL; Haller N; et al.,Frontiers in Physiology,Systematic review + meta-regression,34 studies; highly trained/elite athletes,10.3389/fphys.2024.1486526,https://doi.org/10.3389/fphys.2024.1486526,True,A,Highly trained and elite endurance,HIIT can improve multiple performance measures even in highly trained athletes; more aerobic long-interval formats appear especially useful for VO2max.,Scale expected gains by athlete calibre; advanced riders need highly targeted HIIT rather than simply more intensity.,HIIT;elite;VO2max
BUCHHEIT2013_HIIT1,2013,HIIT and VO2max,"High-Intensity Interval Training, Solutions to the Programming Puzzle: Part I: Cardiopulmonary Emphasis",Buchheit M; Laursen PB,Sports Medicine,Narrative review,Athletes,10.1007/s40279-013-0029-x,https://doi.org/10.1007/s40279-013-0029-x,False,B,Endurance/applied physiology,"HIIT responses are determined by multiple variables including work duration, intensity, recovery duration, recovery intensity and modality.","Model interval workouts as a parameter set, not a single label. Match work/recovery configuration to the targeted physiological response.",HIIT;programming;VO2max
BUCHHEIT2013_HIIT2,2013,HIIT and VO2max,"High-Intensity Interval Training, Solutions to the Programming Puzzle: Part II: Anaerobic Energy, Neuromuscular Load and Practical Applications",Buchheit M; Laursen PB,Sports Medicine,Narrative review,Athletes,10.1007/s40279-013-0066-5,https://doi.org/10.1007/s40279-013-0066-5,False,B,Endurance/applied physiology,"Different HIIT formats alter anaerobic contribution, neuromuscular load and recovery cost.",Track session purpose and fatigue cost separately. Two sessions with similar TSS can impose very different neuromuscular and metabolic stress.,HIIT;anaerobic;neuromuscular
RONNESTAD2015_SHORT_INTERVALS,2015,HIIT and VO2max,Short intervals induce superior training adaptations compared with long intervals in cyclists – an effort-matched approach,Rønnestad BR; Hansen J; Vegge G; Tønnessen E; Slettaløkken G,Scandinavian Journal of Medicine & Science in Sports,Cycling training intervention,Well-trained cyclists,10.1111/sms.12165,https://doi.org/10.1111/sms.12165,False,B,Cycling-specific,"In this study, short work/rest intervals produced strong adaptations compared with longer interval sessions under the tested design.","Keep 30/15-style microintervals as an alternative VO2 format, especially for riders who struggle to sustain long intervals.",cycling;30/15;HIIT
